originProductNo,channelProductNo,name,price,stock,status
10393612769,10443955622,삼성전자 소딤 DDR4 21300 2666V RAM 16GB 노트북용 메모리,40000,8,SALE
10393372863,10443714053,삼성전자 소딤 DDR4 19200 2400T RAM 8GB 노트북용 메모리,20000,7,SALE
10393315249,10443656123,SK하이닉스 소딤 DDR4 19200 2400T RAM 8GB 노트북용 메모리,19000,2,SALE
10393295565,10443636328,SK하이닉스 소딤 DDR4 21300 2666V RAM 8GB 노트북용 메모리,19500,0,OUTOFSTOCK
10393230442,10443570868,삼성전자 소딤 DDR4 21300 2666V RAM 8GB 노트북용 메모리,20000,6,SALE
10393225043,10443565436,삼성전자 소딤 DDR4 17000 2133P RAM 8GB 노트북용 메모리,20000,3,SALE
10350915744,10401089428,HP E223 22인치 FHD 모니터 사무용 가정용 업무용 피벗 틸트 엘리베이션 스위블,80000,3,SALE
10350889317,10401062776,삼성전자 T24D390KD 24인치 LED 모니터 FHD 모니터 광시야각,65000,0,OUTOFSTOCK
10350784067,10400956700,레노버 T2224p 사무용  22인치 IPS 모니터 피벗 틸트 스위블 엘리베이션 가정용,45000,4,SALE
10350674667,10400846615,LG전자 34WP65C 울트라와이드 34인치 게이밍 게임용 모니터 160Hz 커브드,280000,4,SALE
10350532291,10400703196,삼성 게이밍 24인치 모니터 게임용 F24T354FHK IPS 75Hz 광시야각 HDMI,79000,36,SALE
10350448101,10400618335,삼성 LS22A330NHK 22인치 LED 모니터 틸트 사무용 업무용 CCTV용 HDMI,45000,4,SALE
10350380155,10400549943,삼성전자 S22E450F 22인치 LED 모니터 피벗 사무용 업무용 CCTV용 HDMI,45000,34,SALE
10298929962,10348842317,LG 27인치 27ML600 모니터 다리 모니터 받침대 모니터 암,25000,41,SALE
10298437550,10348347390,NVIDIA 엔비디아 쿼드로 그래픽카드 VGA  P2000 D5 5GB,150000,0,OUTOFSTOCK
10289640175,10339512970,데스크탑 HP ProDesk 400 G4 MT 사무용 컴퓨터 가정용 본체 i3-7세대,165000,199,SALE
10253289375,10302970465,공기살균기 공기청정기 바이러스 클린 플라스큐에어 BPT-VA1000,3300000,100,SALE
10253149706,10302829519,HP ProDesk 400 G4 MT 데스크탑 사무용 컴퓨터 가정용 본체 i3-7세대,170000,200,SALE
10252544351,10302217334,삼성전자 12V 3.34A  외경 6.5mm 내경 4.4mm SHA0801,3500,811,SALE
10246255298,10295893452,레노버 정품 전원아답터 20V 4.5A  외경 7.9mm 내경 5.5mm 노트북 어댑터,25000,9,SALE
10246251955,10295890076,레노버 정품 아답터 20V 2.25A 45W 사각팁 노트북 어댑터,12000,98,SALE
10246241576,10295879586,HP 정품 전원아답터 19.5V 3.33A 65W 외경 7.4 내경 5.0 노트북어댑터,15000,96,SALE
10220013947,10269510797,삼성전자 22인치 LS22E45K 피벗 LED 모니터 HDMI 지원,45000,10,SALE
10216252525,10265725038,AONE CARE Micro 500HP KC 230W 파워서플라이 M-ATX(SFX)파워,8000,57,SUSPENSION
10216170682,10265642477,기가바이트 GIGABYTE H510M H 메인보드,65000,0,OUTOFSTOCK
10200291856,10249687221,벨킨 USB-C to Gigabit Ethernet Adapter 기가빗 이더넷 어댑터 F2CU040,10000,72,SALE
10200273913,10249669066,APPLE 애플 USB-C Digital AV Multiport 어댑터 A1621 중고제품,10000,183,SALE
10200268340,10249663424,APPLE 애플 USB-C Digital AV Multiport 어댑터 A1621,35000,1,SUSPENSION
10200110748,10249504056,LG전자 울트라 와이드 HDR 21:9 모니터 29WN600,180000,1,SUSPENSION
10199634619,10249024411,LG DH18NS61 18배속 DVD-ROM 벌크 블랙 SATA 방식 읽기전용,10000,78,SALE
10192276054,10241631622,삼성 DDR4 25600 RAM 32GB 데스크탑 3200Mhz PC메모리,88000,29,SUSPENSION
10192271858,10241627404,삼성 DDR4 25600 RAM 16GB 데스크탑 3200Mhz PC메모리,44000,57,SUSPENSION
10192265617,10241621131,삼성 DDR4 25600 RAM 8GB 데스크탑 3200Mhz PC메모리,18000,5,SUSPENSION
10161188720,10210390108,삼성 데스크탑 사무용 컴퓨터 가정용 본체 i3-6세대 신형PC 외장그래픽 DB400T7B,255000,200,SALE
